L_Wrist;6,203636;1,825264;-4,739165;0,1217953;0,5875449;-0,04092038;-0,7989259
L_IndexMetacarpal;6,172058;1,825382;-4,705957;0,1217953;0,5875449;-0,04092038;-0,7989259
L_IndexProximal;6,112858;1,83806;-4,684849;0,05955992;0,5999741;-0,04988008;-0,7962385
L_IndexIntermediate;6,073658;1,839486;-4,673719;-0,05386097;0,5846635;-0,1670095;-0,7920705
L_IndexDistal;6,049929;1,832154;-4,665606;-0,09089024;0,5953296;-0,210077;-0,7701881
L_IndexTip;6,028259;1,823693;-4,659428;-0,09089024;0,5953296;-0,210077;-0,7701881
L_LittleMetacarpal;6,160521;1,815683;-4,74942;0,2191732;0,6549261;-0,2328712;-0,6846941
L_LittleProximal;6,111496;1,815444;-4,747156;0,2073441;0,7229892;-0,105074;-0,6505803
L_LittleIntermediate;6,078986;1,819337;-4,751497;0,09372448;0,6886352;-0,3085623;-0,6494512
L_LittleDistal;6,058191;1,812715;-4,750754;0,08247903;0,6432902;-0,329948;-0,6859369
L_LittleTip;6,035645;1,80653;-4,747497;0,08247903;0,6432902;-0,329948;-0,6859369
L_MiddleMetacarpal;6,169089;1,823427;-4,723301;0,1217953;0,5875449;-0,04092038;-0,7989259
L_MiddleProximal;6,106429;1,838074;-4,707994;0,08172314;0,6477177;-0,08882028;-0,7522594
L_MiddleIntermediate;6,060784;1,838439;-4,701184;-0,04476102;0,6225241;-0,2112065;-0,7522315
L_MiddleDistal;6,033603;1,828655;-4,69464;-0,04419024;0,6143941;-0,2707393;-0,7397755
L_MiddleTip;6,009258;1,818895;-4,688805;-0,04419024;0,6143941;-0,2707393;-0,7397755
Spawner Left;6,106429;1,838074;-4,707994;0,4469041;0,6053501;0,2469382;-0,6106142
L_Palm;6,137759;1,830751;-4,715648;0,1217953;0,5875449;-0,04092038;-0,7989259
L_RingMetacarpal;6,162724;1,821128;-4,742101;0,1217953;0,5875449;-0,04092038;-0,7989259
L_RingProximal;6,106869;1,828533;-4,728211;0,1471609;0,6719962;-0,09030409;-0,7201458
L_RingIntermediate;6,065176;1,832331;-4,725966;0,03665233;0,6352541;-0,2397549;-0,7332303
L_RingDistal;6,03806;1,825164;-4,720532;-0,01452382;0,5897201;-0,2991784;-0,7500079
L_RingTip;6,014312;1,816665;-4,713401;-0,01452382;0,5897201;-0,2991784;-0,7500079
L_ThumbMetacarpal;6,17679;1,820382;-4,694475;-0,1944461;0,1683363;0,5175345;-0,8160956
L_ThumbProximal;6,160151;1,815379;-4,664145;-0,2478617;0,2945556;0,4340674;-0,8144859
L_ThumbDistal;6,134902;1,810001;-4,638584;-0,2882002;0,2176995;0,4871448;-0,7951339
L_ThumbTip;6,118733;1,804537;-4,618352;-0,2882002;0,2176995;0,4871448;-0,7951339
L_Wrist;6,203707;1,825334;-4,739129;0,1219541;0,5882642;-0,04314523;-0,798255
L_IndexMetacarpal;6,17208;1,825435;-4,705966;0,1219541;0,5882642;-0,04314523;-0,798255
L_IndexProximal;6,112808;1,837964;-4,684979;0,05969499;0,6006367;-0,05217297;-0,7955818
L_IndexIntermediate;6,073584;1,839281;-4,673915;-0,05363527;0,5849372;-0,1693791;-0,7913803
L_IndexDistal;6,04987;1,831886;-4,665817;-0,0907242;0,5954424;-0,2124818;-0,7694603
L_IndexTip;6,028224;1,82336;-4,659647;-0,0907242;0,5954424;-0,2124818;-0,7694603
L_LittleMetacarpal;6,160641;1,815568;-4,749415;0,2191758;0,6554547;-0,2349215;-0,6834859
L_LittleProximal;6,111615;1,815158;-4,74722;0,2075343;0,7235901;-0,1066723;-0,6495907
L_LittleIntermediate;6,079103;1,818965;-4,751624;0,09361513;0,6885633;-0,3107803;-0,6484848
L_LittleDistal;6,058332;1,812271;-4,750876;0,08241511;0,6431261;-0,3322699;-0,6849771
L_LittleTip;6,035808;1,806009;-4,747612;0,08241511;0,6431261;-0,3322699;-0,6849771
L_MiddleMetacarpal;6,169143;1,823418;-4,723309;0,1219541;0,5882642;-0,04314523;-0,798255
L_MiddleProximal;6,106411;1,837887;-4,708133;0,08180974;0,6482271;-0,09101305;-0,7515488
L_MiddleIntermediate;6,060756;1,838117;-4,701385;-0,04460935;0,6226183;-0,2134963;-0,7515157
L_MiddleDistal;6,033601;1,828256;-4,694848;-0,04412261;0,6143457;-0,2731142;-0,7389461
L_MiddleTip;6,009287;1,818419;-4,689012;-0,04412261;0,6143457;-0,2731142;-0,7389461
Spawner Left;6,106411;1,837887;-4,708133;0,4466237;0,6068877;0,2452939;-0,6099554
L_Palm;6,137777;1,830653;-4,715721;0,1219541;0,5882642;-0,04314523;-0,798255
L_RingMetacarpal;6,162816;1,821042;-4,742111;0,1219541;0,5882642;-0,04314523;-0,798255
L_RingProximal;6,106914;1,828287;-4,728321;0,147359;0,6725624;-0,09224641;-0,7193303
L_RingIntermediate;6,065207;1,831973;-4,726145;0,03647142;0,6352581;-0,2422385;-0,7324192
L_RingDistal;6,038117;1,824707;-4,72071;-0,01469958;0,5894744;-0,3017782;-0,7491555
L_RingTip;6,014405;1,816119;-4,713568;-0,01469958;0,5894744;-0,3017782;-0,7491555
L_ThumbMetacarpal;6,176812;1,820483;-4,694463;-0,1935194;0,1701437;0,5158059;-0,8170347
L_ThumbProximal;6,160116;1,815565;-4,664151;-0,2468231;0,29601;0,4320609;-0,8153406
L_ThumbDistal;6,134831;1,810235;-4,638615;-0,2866271;0,2188568;0,4854934;-0,7963938
L_ThumbTip;6,118661;1,804834;-4,618367;-0,2866271;0,2188568;0,4854934;-0,7963938
L_Wrist;6,203735;1,825477;-4,739066;0,1208453;0,5895964;-0,04516438;-0,7973285
L_IndexMetacarpal;6,17201;1,82543;-4,705989;0,1208453;0,5895964;-0,04516438;-0,7973285
L_IndexProximal;6,112633;1,837697;-4,685165;0,05811245;0,6017988;-0,05459622;-0,7946575
L_IndexIntermediate;6,073374;1,838783;-4,674199;-0,05497217;0,5857435;-0,1718898;-0,7901498
L_IndexDistal;6,049683;1,831252;-4,666158;-0,09199171;0,5961171;-0,2149398;-0,7681035
